achievement_debug                        : 0        : , "cheat", "rep", "cl" : Turn on achievement debug msgs.
addip                                    : cmd      :                  : Add an IP address to the ban list.
adsp_debug                               : 0        : , "a"            : 
ai_debug_los                             : 0        : , "sv", "cheat"  : NPC Line-Of-Sight debug mode. If 1, solid entities that block NPC LOC will be highlighted with white bounding boxes. If 2, it'l
ai_debug_shoot_positions                 : 0        : , "cheat", "rep", "cl" : 
air_density                              : cmd      :                  : Changes the density of air for drag computations.
alias                                    : cmd      :                  : Alias a command.
anim_showmainactivity                    : 0        : , "cheat", "cl"  : Show the idle, walk, run, and/or sprint activities.
askconnect_accept                        : cmd      :                  : Accept a redirect request by the server.
async_allow_held_files                   : 1        :                  : Allow AsyncBegin/EndRead()
async_mode                               : 0        :                  : Set the async filesystem mode (0 = async, 1 = synchronous)
async_resume                             : cmd      :                  : 
async_simulate_delay                     : 0        :                  : Simulate a delay of up to a set msec per file operation
async_suspend                            : cmd      :                  : 
audit_save_in_memory                     : cmd      :                  : Audit the memory usage and files in the save-to-memory system
autosave                                 : cmd      :                  : Autosave
autosavedangerous                        : cmd      :                  : AutoSaveDangerous
autosavedangerousissafe                  : cmd      :                  : 

banid                                    : cmd      :                  : Add a user ID to the ban list.
banip                                    : cmd      :                  : Add an IP address to the ban list.
bench_end                                : cmd      :                  : Ends gathering of info.
bench_showstatsdialog                    : cmd      :                  : Shows a dialog displaying the most recent benchmark results.
bench_start                              : cmd      :                  : Starts gathering of info. Arguments: filename to write results into
bench_upload                             : cmd      :                  : Uploads most recent benchmark stats to the Valve servers.
benchframe                               : cmd      :                  : Takes a snapshot of a particular frame in a time demo.
bind                                     : cmd      :                  : Bind a key.
BindToggle                               : cmd      :                  : Performs a bind <key> 'increment var <cvar> 0 1 1'
blackbox_dump                            : cmd      :                  : Dump the contents of the blackbox
blackbox_record                          : cmd      :                  : Record an entry into the blackbox
bot_add_ct                               : cmd      :                  : bot_add_ct - Adds a bot.
bot_add_emp                              : cmd      :                  : bot_add_emp - Adds a bot.
